Classes,DC,FWI,day,month,year,Temperature, RH, Ws,Rain ,FFMC,DMC,ISI,BUI
0,not fire   ,7.6,0.5,1,6,2012,29,57,18,0.0,65.7,3.4,1.3,3.4
1,not fire   ,7.6,0.4,2,6,2012,29,61,13,1.3,64.4,4.1,1.0,3.9
2,not fire   ,7.1,0.1,3,6,2012,26,82,22,13.1,47.1,2.5,0.3,2.7
3,not fire   ,6.9,0,4,6,2012,25,89,13,2.5,28.6,1.3,0.0,1.7
4,not fire   ,14.2,0.5,5,6,2012,27,77,16,0.0,64.8,3.0,1.2,3.9
5,fire   ,22.2,2.5,6,6,2012,31,67,14,0.0,82.6,5.8,3.1,7.0
6,fire   ,30.5,7.2,7,6,2012,33,54,13,0.0,88.2,9.9,6.4,10.9
7,fire   ,38.3,7.1,8,6,2012,30,73,15,0.0,86.6,12.1,5.6,13.5
8,not fire   ,38.8,0.3,9,6,2012,25,88,13,0.2,52.9,7.9,0.4,10.5
9,not fire   ,46.3,0.9,10,6,2012,28,79,12,0.0,73.2,9.5,1.3,12.6
10,fire   ,54.3,5.6,11,6,2012,31,65,14,0.0,84.5,12.5,4.0,15.8
11,fire   ,61.4,7.1,12,6,2012,26,81,19,0.0,84.0,13.8,4.8,17.7
12,not fire   ,17,0.2,13,6,2012,27,84,21,1.2,50.0,6.7,0.5,6.7
13,not fire   ,7.8,0.4,14,6,2012,30,78,20,0.5,59.0,4.6,1.0,4.4
14,not fire   ,7.4,0.1,15,6,2012,28,80,17,3.1,49.4,3.0,0.4,3.0
15,not fire   ,7.6,0,16,6,2012,29,89,13,0.7,36.1,1.7,0.0,2.2
16,not fire   ,7.8,0,17,6,2012,30,89,16,0.6,37.3,1.1,0.0,1.6
17,not fire   ,8,0.2,18,6,2012,31,78,14,0.3,56.9,1.9,0.7,2.4
18,not fire   ,16,1.4,19,6,2012,31,55,16,0.1,79.9,4.5,2.5,5.3
19,not fire   ,27.1,0.4,20,6,2012,30,80,16,0.4,59.8,3.4,0.9,5.1
20,fire   ,31.6,2.2,21,6,2012,30,78,14,0.0,81.0,6.3,2.6,8.4
21,not fire   ,39.5,2.3,22,6,2012,31,67,17,0.1,79.1,7.0,2.4,9.7
22,fire   ,47.7,3.8,23,6,2012,32,62,18,0.1,81.4,8.2,3.3,11.5
23,fire   ,55.8,7.5,24,6,2012,32,66,17,0.0,85.9,11.2,5.6,14.9
24,fire   ,,8.4,25,6,2012,31,64,15,0.0,86.7,14.2,5.7,18.3
25,fire   ,71.8,10.6,26,6,2012,31,64,18,0.0,86.8,17.8,6.7,21.6
26,fire   ,80.3,15,27,6,2012,34,53,18,0.0,89.0,21.6,9.2,25.8
27,fire   ,88.5,13.9,28,6,2012,32,55,14,0.0,89.1,25.5,7.6,29.7
28,not fire   ,84.4,3.9,29,6,2012,32,47,13,0.3,79.9,18.4,2.2,23.8
29,fire   ,92.8,12.9,30,6,2012,33,50,14,0.0,88.7,22.9,7.2,28.3
